Date,RG03,RG09,RG10_30,RG20_25
11/30/2014,4.7,4.95,4.44,5.13
11/30/2010,4.46,5,5.17,4.45
03/31/2003,3.12,5.01,5.68,4.89
04/30/2013,4.85,5.08,5.14,4.38
09/30/2013,4.8,5.14,5.91,5.5
12/31/2004,4.79,5.15,4.16,4.72
01/31/2011,5,5.46,6.13,4.97
02/28/2014,5.42,5.55,6.27,5.87
01/31/2012,5.3,5.6,6.66,5.21
11/30/2003,5.09,5.63,4.71,5.71
11/30/2008,4.65,5.74,6.08,5.15
10/31/2009,4.98,5.88,6.06,5.06
01/31/2004,4.79,5.93,5.04,5.83
12/31/2014,5.29,6.08,5.24,5.92
10/31/2014,6.02,6.46,7.21,6.71
03/31/2012,6.5,6.72,8.22,6.36
11/30/2011,6.12,6.88,6.24,5.45
10/31/2012,5.85,6.89,6.54,5.53
12/31/2006,7.42,6.94,7.83,8.16
10/31/2003,6.33,7.04,7.39,7.14
03/31/2017,6.59,7.2,7.33,6.68
01/31/2003,5.84,7.31,5.42,7.17
11/30/2015,6.48,7.37,7.74,6.95
11/30/2016,8.07,7.38,7.49,7.6
12/31/2005,6.44,7.4,7.06,6.56
03/31/2011,6.19,7.58,7.31,6.06
01/31/2010,6.69,7.62,6.81,6.61
01/31/2016,7.25,8.37,7.07,7.85
02/28/2017,8.18,8.45,9.63,9.43
10/31/2016,9.86,9.14,10.37,11.13
11/30/2012,8.58,9.32,8.14,7.93
01/31/2006,9.52,9.37,12.61,9.51
12/31/2010,8.39,9.46,9.71,8.16
03/31/2014,8.54,9.73,9.24,8.51
11/30/2009,8.72,9.94,10.07,8.75
12/31/2007,9.83,9.99,9.37,9.47
